ID,CPT,HPT,CTGI,WTGI
045,5,43,20,40
046,14,42,23,37
049,5,41,21,39
050,5,39,22,37
051,19,38,23,36
052,14,43,6,43
053,5,42,22,38
054,9,41,21,39
055,10,42,21,39
056,15,40,23,40
057,17,39,23,37
058,17,39,21,37
059,8,42,19,42
060,13,43,21,39
061,17,41,20,40
062,5,44,16,44
063,5,42,18,40
064,16,38,21,36
065,5,33,24,31
066,24,39,26,36
067,5,41,21,39
068,16,41,23,37
069,5,43,19,41
070,5,45,17,42
071,15,40,25,35
072,21,40,23,38
073,20,40,22,38
074,5,42,21,39
075,5,45,18,42
076,6,44,19,41
077,5,45,23,37
078,5,43,23,37
079,21,42,25,35
080,11,41,17,39
081,17,35,24,33
082,11,44,14,42
083,5,43,13,41
084,17,43,19,41
085,5,45,15,43
086,9,43,15,41
